epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,3213.28,0.84238,0.95906,0.00242,0.75602,0.68611,0.7774,0.61711,0.86726,0.91974,0.00375,0.000703961,0.000703961,0.000703961
43,3266.94,0.79911,0.96706,0.00226,0.81903,0.74678,0.8058,0.64699,0.80059,0.84829,0.00345,0.000686277,0.000686277,0.000686277
44,3318.86,0.7832,0.93234,0.00221,0.79551,0.73019,0.80632,0.63529,0.78893,0.83181,0.00329,0.000668593,0.000668593,0.000668593
45,3369.8,0.79081,0.92925,0.00212,0.91064,0.70426,0.82871,0.64603,0.78065,0.81654,0.00318,0.000650909,0.000650909,0.000650909
46,3422.73,0.76938,0.92817,0.00249,0.83297,0.77455,0.85366,0.67285,0.84139,0.81498,0.0034,0.000633226,0.000633226,0.000633226
47,3476.03,0.83106,0.86373,0.00207,0.87287,0.7587,0.85589,0.69237,0.78087,0.77057,0.00345,0.000615542,0.000615542,0.000615542
48,3527.91,0.80561,0.83676,0.002,0.89315,0.74781,0.87235,0.71427,0.75537,0.75446,0.0034,0.000597858,0.000597858,0.000597858
49,3580.42,0.80733,0.88208,0.0021,0.91086,0.75023,0.87454,0.70035,0.81305,0.76544,0.00351,0.000580174,0.000580174,0.000580174
50,3634.93,0.76981,0.84687,0.00205,0.83662,0.83961,0.87944,0.69253,0.77995,0.78226,0.00327,0.00056249,0.00056249,0.00056249
51,3687.43,0.79077,0.85823,0.00218,0.83137,0.8681,0.87546,0.69768,0.79799,0.74022,0.00345,0.000544806,0.000544806,0.000544806
52,3739.41,0.77787,0.84722,0.00225,0.92248,0.77528,0.8668,0.68243,0.78908,0.77214,0.00333,0.000527122,0.000527122,0.000527122
53,3790.87,0.77851,0.86609,0.00244,0.92426,0.77634,0.86592,0.68293,0.76257,0.74981,0.00335,0.000509438,0.000509438,0.000509438
54,3843.28,0.77799,0.7832,0.00217,0.94169,0.81913,0.88142,0.69591,0.81668,0.7593,0.00325,0.000491755,0.000491755,0.000491755
55,3897.77,0.76346,0.8339,0.00225,0.90512,0.79548,0.88231,0.7033,0.72348,0.74356,0.00293,0.000474071,0.000474071,0.000474071
56,3951.58,0.74117,0.82109,0.00213,0.88737,0.8149,0.88151,0.70963,0.72649,0.74298,0.003,0.000456387,0.000456387,0.000456387
57,4002.46,0.75763,0.79782,0.00193,0.89681,0.83489,0.8961,0.7036,0.78525,0.71739,0.0031,0.000438703,0.000438703,0.000438703
58,4054.57,0.78853,0.83022,0.00225,0.90819,0.82556,0.89385,0.70445,0.75072,0.7127,0.00303,0.000421019,0.000421019,0.000421019
59,4106.67,0.81594,0.78379,0.00195,0.92234,0.83049,0.89378,0.70047,0.77619,0.73867,0.00329,0.000403335,0.000403335,0.000403335
60,4157.61,0.7745,0.79091,0.00228,0.96221,0.78611,0.89139,0.69488,0.78606,0.76688,0.0031,0.000385651,0.000385651,0.000385651
61,4209.05,0.74875,0.82765,0.00212,0.9371,0.82792,0.89527,0.7138,0.7612,0.7681,0.00301,0.000367967,0.000367967,0.000367967
62,4261.13,0.709,0.78488,0.00196,0.96879,0.82843,0.89691,0.71958,0.77675,0.71688,0.00289,0.000350284,0.000350284,0.000350284
63,4313.33,0.71714,0.73832,0.002,0.96334,0.82806,0.89761,0.71692,0.81209,0.69666,0.00299,0.0003326,0.0003326,0.0003326
64,4365.69,0.7544,0.73441,0.00203,0.96189,0.82087,0.90029,0.70707,0.815,0.68852,0.00298,0.000314916,0.000314916,0.000314916
65,4417.44,0.7349,0.74874,0.00204,0.96726,0.83029,0.89807,0.72409,0.73014,0.67849,0.00283,0.000297232,0.000297232,0.000297232
66,4468.74,0.70877,0.72997,0.00196,0.96953,0.79054,0.89417,0.72312,0.7462,0.68132,0.00292,0.000279548,0.000279548,0.000279548
67,4520.62,0.71833,0.75043,0.0021,0.9002,0.84091,0.89027,0.70568,0.76679,0.70003,0.00297,0.000261864,0.000261864,0.000261864
68,4571.98,0.6921,0.74367,0.00193,0.88625,0.8223,0.88505,0.70472,0.80195,0.71226,0.00292,0.00024418,0.00024418,0.00024418
69,4624.41,0.73377,0.73532,0.00198,0.91496,0.81096,0.88415,0.7077,0.80079,0.71092,0.0028,0.000226497,0.000226497,0.000226497
70,4676.43,0.69829,0.73649,0.00197,0.92202,0.79336,0.86863,0.70333,0.72742,0.69548,0.0027,0.000208813,0.000208813,0.000208813
71,4725.68,0.74126,0.85119,0.00234,0.93185,0.82513,0.88285,0.72353,0.70671,0.64504,0.00267,0.000191129,0.000191129,0.000191129
72,4773.91,0.67663,0.77388,0.00224,0.89988,0.79587,0.88284,0.72152,0.7136,0.64429,0.00278,0.000173445,0.000173445,0.000173445
73,4823.97,0.66984,0.77671,0.0025,0.78176,0.86191,0.87033,0.70616,0.73443,0.6908,0.00302,0.000155761,0.000155761,0.000155761
74,4871.58,0.70732,0.78164,0.00228,0.87043,0.78786,0.87705,0.71515,0.76569,0.68471,0.00313,0.000138077,0.000138077,0.000138077
75,4919.06,0.7127,0.82253,0.00217,0.8346,0.84124,0.86964,0.68797,0.80595,0.69366,0.00319,0.000120393,0.000120393,0.000120393
76,4968.13,0.72976,0.81199,0.0024,0.88876,0.82317,0.87994,0.69658,0.80984,0.69328,0.00322,0.000102709,0.000102709,0.000102709
77,5015.95,0.70238,0.78566,0.00221,0.88948,0.82146,0.87893,0.70358,0.7878,0.68807,0.00307,8.50255e-05,8.50255e-05,8.50255e-05
78,5065.08,0.67121,0.76879,0.00229,0.85475,0.84367,0.87769,0.71292,0.75556,0.69912,0.00292,6.73416e-05,6.73416e-05,6.73416e-05
79,5114.97,0.68235,0.8173,0.00308,0.85981,0.82763,0.87478,0.71315,0.7463,0.68976,0.00292,4.96578e-05,4.96578e-05,4.96578e-05
80,5199,0.6983,0.80263,0.00259,0.85643,0.83669,0.87618,0.71281,0.74906,0.68047,0.0029,3.19739e-05,3.19739e-05,3.19739e-05
